"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"49073","4848.0","pp","moaE2 (pp) 83332.Rv0863","false","pp","moaE2 (pp) 83332.Rv0863",,,,,,,"0.85","0.85",
"49074","2158.61213905","pp","menC (pp) 83332.Rv0552","false","pp","menC (pp) 83332.Rv0552","0.07",,,,,,"0.849","0.854",
"49075","3515.55950985","pp","menC (pp) 83332.Rv0542c","false","pp","menC (pp) 83332.Rv0542c","0.071","0.3","0.945",,,,"0.331","0.974","0.091"
"49076","7655.2650504","pp","menC (pp) 83332.Rv0556","false","pp","menC (pp) 83332.Rv0556","0.07","0.154",,,,,"0.755","0.79",
"49077","3001.62374814","pp","menC (pp) 83332.Rv0554","false","pp","menC (pp) 83332.Rv0554","0.07",,"0.189",,,,"0.849","0.886","0.112"
"49078","15137.93288455","pp","menC (pp) 83332.Rv1127c","false","pp","menC (pp) 83332.Rv1127c",,,"0.778",,,,"0.045","0.778",
"49079","1194.84017457","pp","ribA2 (pp) 83332.Rv3609c","false","pp","ribA2 (pp) 83332.Rv3609c","0.114",,"0.945",,"0.149",,"0.068","0.985","0.682"
"49080","21185.4151797","pp","ribA2 (pp) 83332.Rv1417","false","pp","ribA2 (pp) 83332.Rv1417","0.07",,,,,,"0.893","0.897",
"49081","1938.66463579","pp","ribA2 (pp) 83332.Rv2230c","false","pp","ribA2 (pp) 83332.Rv2230c",,,"0.824",,,,"0.043","0.824",
"49082","3307.40558701","pp","ribA2 (pp) mtrB","false","pp","ribA2 (pp) mtrB",,,"0.952","0.156",,,"0.089","0.96","0.057"
"49083","2031.36691642","pp","ribA2 (pp) 83332.Rv0570","false","pp","ribA2 (pp) 83332.Rv0570",,,"0.743",,,,"0.084","0.793","0.194"
"49084","750.92853176","pp","ribA2 (pp) 83332.Rv1264","false","pp","ribA2 (pp) 83332.Rv1264","0.069",,"0.945",,,,,"0.946",
"49085","4957.85641587","pp","ribA2 (pp) 83332.Rv0982","false","pp","ribA2 (pp) 83332.Rv0982",,,"0.952",,,,"0.068","0.956","0.11"
"49086","2210.89436408","pp","ribA2 (pp) 83332.Rv2718c","false","pp","ribA2 (pp) 83332.Rv2718c",,,"0.824",,,,"0.341","0.949","0.597"
"49087","714.88221793","pp","ribA2 (pp) 83332.Rv2435c","false","pp","ribA2 (pp) 83332.Rv2435c",,,"0.952",,,,"0.069","0.953",
"49088","2536.34534437","pp","ribA2 (pp) ndkA","false","pp","ribA2 (pp) ndkA",,,"0.945",,,,,"0.947","0.092"
"49089","1777.40636522","pp","ribA2 (pp) ribA1","false","pp","ribA2 (pp) ribA1",,"0.13","0.865","0.201",,,"0.32","0.932","0.108"
"49090","1312.46423421","pp","ribA2 (pp) 83332.Rv2671","false","pp","ribA2 (pp) 83332.Rv2671","0.948",,"0.743",,,,"0.32","0.998","0.829"
"49091","4233.46588547","pp","ribA2 (pp) ribF","false","pp","ribA2 (pp) ribF","0.075","0.156",,,,,"0.337","0.77","0.61"
"49092","2417.36141957","pp","ribA2 (pp) 83332.Rv2965c","false","pp","ribA2 (pp) 83332.Rv2965c",,,,,,,"0.283","0.773","0.697"
"49093","9819.29057549","pp","ribA2 (pp) 83332.Rv1418","false","pp","ribA2 (pp) 83332.Rv1418","0.07",,,,,,"0.765","0.772",
"49094","950.18147486","pp","ribA2 (pp) 83332.Rv1319c","false","pp","ribA2 (pp) 83332.Rv1319c",,,"0.952",,,,"0.068","0.953",
"49095","551.09808935","pp","ribA2 (pp) Rv3645","false","pp","ribA2 (pp) Rv3645",,,"0.952",,,,"0.06","0.953","0.056"
"49096","14596.72916226","pp","ribA2 (pp) 83332.Rv1617","false","pp","ribA2 (pp) 83332.Rv1617",,,"0.945",,,,"0.044","0.947","0.075"
"49097","2460.20743254","pp","ribA2 (pp) 83332.Rv2583c","false","pp","ribA2 (pp) 83332.Rv2583c","0.106",,"0.945",,,,"0.144","0.958","0.123"
"49098","1964.13644558","pp","ribA2 (pp) 83332.Rv3051c","false","pp","ribA2 (pp) 83332.Rv3051c",,,"0.743",,,,"0.084","0.793","0.194"
"49099","3073.27955109","pp","ribA2 (pp) 83332.Rv1391","false","pp","ribA2 (pp) 83332.Rv1391","0.106",,,"0.148",,,"0.338","0.834","0.711"
"49100","656.75820776","pp","ribA2 (pp) 83332.Rv1625c","false","pp","ribA2 (pp) 83332.Rv1625c","0.071",,"0.945",,,,,"0.946",
"49101","5313.06450504","pp","ribA2 (pp) 83332.Rv0567","false","pp","ribA2 (pp) 83332.Rv0567",,,,"0.132",,,"0.045","0.795","0.773"
"49102","10185.42465076","pp","ribA2 (pp) 83332.Rv0121c","false","pp","ribA2 (pp) 83332.Rv0121c",,,"0.824",,,,"0.068","0.828",
"49103","948.02563959","pp","pheA (pp) 83332.Rv1611","false","pp","pheA (pp) 83332.Rv1611","0.074","0.29",,,,,"0.163","0.813","0.702"
"49104","367.14412521","pp","pheA (pp) 83332.Rv2192c","false","pp","pheA (pp) 83332.Rv2192c","0.073","0.284","0.442",,,,"0.163","0.878","0.669"
"49105","626.66385601","pp","pheA (pp) 83332.Rv3837c","false","pp","pheA (pp) 83332.Rv3837c","0.07",,,,,,"0.885","0.889",
"49106","611.78169652","pp","pheA (pp) 83332.Rv1600","false","pp","pheA (pp) 83332.Rv1600","0.177",,"0.945",,,,"0.088","0.972","0.423"
"49107","1478.45363923","pp","pheA (pp) 83332.Rv1885c","false","pp","pheA (pp) 83332.Rv1885c","0.072",,"0.945",,,,"0.11","0.981","0.635"
"49108","857.14443171","pp","pheA (pp) 83332.Rv2231c","false","pp","pheA (pp) 83332.Rv2231c","0.177",,"0.945",,,,"0.088","0.961","0.188"
"49109","2102.26791941","pp","pheA (pp) 83332.Rv3002c","false","pp","pheA (pp) 83332.Rv3002c","0.189","0.601",,,,,"0.163","0.859","0.542"
"49110","601.24458073","pp","pheA (pp) 83332.Rv3772","false","pp","pheA (pp) 83332.Rv3772","0.177",,"0.945",,"0.033",,"0.088","0.961","0.188"
"49111","842.44932024","pp","pheA (pp) 83332.Rv1613","false","pp","pheA (pp) 83332.Rv1613","0.058","0.279","0.104",,,,"0.163","0.82","0.702"
"49112","1411.2180702","pp","pheA (pp) 83332.Rv3001c","false","pp","pheA (pp) 83332.Rv3001c","0.15","0.637",,,,,"0.146","0.792","0.305"
"49113","1583.58556608","pp","mshC (pp) 83332.Rv2855","false","pp","mshC (pp) 83332.Rv2855","0.075","0.157",,,,,"0.06","0.89","0.868"
"49114","7232.67107924","pp","mshC (pp) 83332.Rv2124c","false","pp","mshC (pp) 83332.Rv2124c",,,"0.824",,,,"0.338","0.893","0.163"
"49115","2697.52768233","pp","mshC (pp) 83332.Rv2259","false","pp","mshC (pp) 83332.Rv2259",,"0.174",,,,,"0.06","0.775","0.734"
"49116","5532.70573713","pp","mshC (pp) 83332.Rv0041","false","pp","mshC (pp) 83332.Rv0041","0.669",,,"0.247",,,"0.088","0.817","0.293"
"49117","2683.820855","pp","mshC (pp) cysQ","false","pp","mshC (pp) cysQ","0.073",,,,,,"0.765","0.791","0.116"
"49118","1355.1104873","pp","mshC (pp) gshA","false","pp","mshC (pp) gshA",,,,,,,,"0.857","0.857"
"49119","1250.23280362","pp","mshC (pp) 83332.Rv1170","false","pp","mshC (pp) 83332.Rv1170",,"0.34","0.9",,,,"0.068","0.997","0.961"
"49120","3695.02108146","pp","mshC (pp) 83332.Rv1082","false","pp","mshC (pp) 83332.Rv1082",,"0.579",,,,,"0.068","0.973","0.938"
"49121","637.13269048","pp","Rv1421 (pp) 83332.Rv1423","false","pp","Rv1421 (pp) 83332.Rv1423","0.085","0.18",,,,,"0.881","0.93","0.311"
"49122","4212.86730952","pp","Rv1421 (pp) 83332.Rv1420","false","pp","Rv1421 (pp) 83332.Rv1420","0.085",,,,,,"0.876","0.882",
"49123","926.73650589","pp","Rv1496 (pp) 83332.Rv1322A","false","pp","Rv1496 (pp) 83332.Rv1322A","0.07","0.691",,,"0.894",,"0.249","0.976","0.109"
"49124","308.56190931","pp","dprE1 (pp) 83332.Rv3791","false","pp","dprE1 (pp) 83332.Rv3791","0.085","0.781","0.909","0.19",,,"0.861","0.999","0.987"
"49125","561.94338112","pp","dprE1 (pp) 83332.Rv3793","false","pp","dprE1 (pp) 83332.Rv3793","0.085","0.498",,,,,"0.853","0.958","0.453"
"49126","839.79755995","pp","dprE1 (pp) 83332.Rv3792","false","pp","dprE1 (pp) 83332.Rv3792","0.085","0.238",,,,,"0.857","0.963","0.677"
"49127","539.80253178","pp","dprE1 (pp) 83332.Rv3807c","false","pp","dprE1 (pp) 83332.Rv3807c","0.068","0.498","0.9",,,,"0.065","0.992","0.864"
"49128","541.39446516","pp","ubiA (pp) 83332.Rv3790","false","pp","ubiA (pp) 83332.Rv3790",,"0.782","0.453",,,,"0.068","0.984","0.875"
"49129","2167.05836256","pp","dprE1 (pp) 83332.Rv2196","false","pp","dprE1 (pp) 83332.Rv2196",,"0.164",,,,,"0.043","0.886","0.869"
"49130","1148.26846366","pp","embB (pp) 83332.Rv3790","false","pp","embB (pp) 83332.Rv3790","0.085","0.504",,,,,"0.608","0.886","0.439"
"49131","2668.96062828","pp","dprE1 (pp) 83332.Rv3800c","false","pp","dprE1 (pp) 83332.Rv3800c","0.071",,,"0.214",,,"0.068","0.793","0.733"
"49132","381.51579911","pp","dprE1 (pp) 83332.Rv3794","false","pp","dprE1 (pp) 83332.Rv3794","0.085","0.469",,,,,"0.608","0.912","0.593"
"49133","909.4187967","pp","dprE1 (pp) 83332.Rv3789","false","pp","dprE1 (pp) 83332.Rv3789","0.085","0.616",,,,,"0.738","0.971","0.73"
"49134","306.93307909","pp","Rv3304 (pp) 83332.Rv3300c","false","pp","Rv3304 (pp) 83332.Rv3300c","0.07",,,,,,"0.377","0.85","0.762"
"49135","4504.97222923","pp","Rv3304 (pp) 83332.Rv3303c","false","pp","Rv3304 (pp) 83332.Rv3303c","0.07",,"0.224",,,,"0.625","0.957","0.862"
"49136","3124.91085013","pp","Rv3304 (pp) 83332.Rv3299c","false","pp","Rv3304 (pp) 83332.Rv3299c","0.071",,,,,,"0.345","0.836","0.752"
"49137","1386.41092199","pp","Rv3304 (pp) 83332.Rv3302c","false","pp","Rv3304 (pp) 83332.Rv3302c","0.071",,,,,,"0.525","0.84","0.667"
"49138","5852.85312647","pp","Rv3304 (pp) 83332.Rv0266c","false","pp","Rv3304 (pp) 83332.Rv0266c","0.08",,"0.952",,,,,"0.953",
"49139","3124.91085013","pp","Rv3304 (pp) 83332.Rv3298c","false","pp","Rv3304 (pp) 83332.Rv3298c","0.07",,,,,,"0.32","0.829","0.752"
"49140","1335.09547785","pp","Rv1278 (pp) Rv1279","false","pp","Rv1278 (pp) Rv1279","0.085",,,,,,"0.788","0.797",
"49141","344.49909415","pp","Rv1279 (pp) 83332.Rv0697","false","pp","Rv1279 (pp) 83332.Rv0697",,"0.287","0.945",,,,,"0.959",
"49142","1329.32911886","pp","Rv1279 (pp) 83332.Rv1277","false","pp","Rv1279 (pp) 83332.Rv1277","0.085",,,,,,"0.788","0.797",
"49143","4056.99519174","pp","Rv1279 (pp) 83332.Rv2858c","false","pp","Rv1279 (pp) 83332.Rv2858c","0.247",,"0.945",,"0.053",,"0.068","0.961","0.104"
"49144","4850.0","pp","Rv3278c (pp) 83332.Rv3279c","false","pp","Rv3278c (pp) 83332.Rv3279c","0.085",,,,,,"0.767","0.777",
"49145","38007.69371659","pp","vapC48 (pp) 83332.Rv0065","false","pp","vapC48 (pp) 83332.Rv0065",,"0.535",,,,,"0.042","0.83","0.651"
"49146","14538.0","pp","vapC48 (pp) 83332.Rv0749","false","pp","vapC48 (pp) 83332.Rv0749",,"0.784",,,,,,"0.784",
"49147","16405.95313194","pp","vapC48 (pp) 83332.Rv0277c","false","pp","vapC48 (pp) 83332.Rv0277c",,"0.784",,,,,,"0.784",
"49148","113326.13256774","pp","vapC48 (pp) 83332.Rv3698","false","pp","vapC48 (pp) 83332.Rv3698",,,,,,,"0.622","0.963","0.908"
"49149","9696.0","pp","vapC48 (pp) 83332.Rv3749c","false","pp","vapC48 (pp) 83332.Rv3749c",,"0.18",,,,,,"0.774","0.736"
"49150","32907.44482747","pp","vapC48 (pp) 83332.Rv0624","false","pp","vapC48 (pp) 83332.Rv0624",,"0.313",,,,,,"0.806","0.73"
"49151","967.49502546","pp","ggtB (pp) 83332.Rv0266c","false","pp","ggtB (pp) 83332.Rv0266c","0.07",,"0.824",,,,"0.337","0.89","0.107"
