"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"5704","2.0","pp","1352.AL014_14875 (pp) 1352.AL014_14900",,"false","pp","1352.AL014_14875 (pp) 1352.AL014_14900",,,,,,,,,
"5705","118.97444999","pp","1352.AL014_14875 (pp) 1352.AL014_14905",,"false","pp","1352.AL014_14875 (pp) 1352.AL014_14905",,,,,,,,,
"5706","319.05650369","pp","1352.AL014_14875 (pp) 1352.AL014_14910",,"false","pp","1352.AL014_14875 (pp) 1352.AL014_14910",,,,,,,,,
"5707","279.79161793","pp","1352.AL014_14880 (pp) 1352.AL014_14885",,"false","pp","1352.AL014_14880 (pp) 1352.AL014_14885",,,,,,,,,
"5708","81.69123809","pp","1352.AL014_14880 (pp) 1352.AL014_14900",,"false","pp","1352.AL014_14880 (pp) 1352.AL014_14900",,,,,,,,,
"5709","492.07317059","pp","1352.AL014_14880 (pp) 1352.AL014_14905",,"false","pp","1352.AL014_14880 (pp) 1352.AL014_14905",,,,,,,,,
"5710","389.65512548","pp","1352.AL014_14880 (pp) 1352.AL014_14910",,"false","pp","1352.AL014_14880 (pp) 1352.AL014_14910",,,,,,,,,
"5711","58.80443417","pp","1352.AL014_14885 (pp) 1352.AL014_14900",,"false","pp","1352.AL014_14885 (pp) 1352.AL014_14900",,,,,,,,,
"5712","30.74202366","pp","1352.AL014_14885 (pp) 1352.AL014_14905",,"false","pp","1352.AL014_14885 (pp) 1352.AL014_14905",,,,,,,,,
"5713","264.34920242","pp","1352.AL014_14885 (pp) 1352.AL014_14910",,"false","pp","1352.AL014_14885 (pp) 1352.AL014_14910",,,,,,,,,
"5714","118.97444999","pp","1352.AL014_14900 (pp) 1352.AL014_14905",,"false","pp","1352.AL014_14900 (pp) 1352.AL014_14905",,,,,,,,,
"5715","319.05650369","pp","1352.AL014_14900 (pp) 1352.AL014_14910",,"false","pp","1352.AL014_14900 (pp) 1352.AL014_14910",,,,,,,,,
"5716","356.95591142","pp","1352.AL014_14905 (pp) 1352.AL014_14910",,"false","pp","1352.AL014_14905 (pp) 1352.AL014_14910",,,,,,,,,
"5717","713.36399494","pp","1352.AL014_13540 (pp) 1352.AL014_13550",,"false","pp","1352.AL014_13540 (pp) 1352.AL014_13550",,,,,,,,,
"5718","288.66870088","pp","1352.AL014_13540 (pp) 1352.AL014_13560",,"false","pp","1352.AL014_13540 (pp) 1352.AL014_13560",,,,,,,,,
"5719","73.86655244","pp","1352.AL014_10030 (pp) 1352.AL014_10220",,"false","pp","1352.AL014_10030 (pp) 1352.AL014_10220",,,,,,,,,
"5720","251.73010564","pp","1352.AL014_10030 (pp) 1352.AL014_11490",,"false","pp","1352.AL014_10030 (pp) 1352.AL014_11490",,,,,,,,,
"5721","1576.15588697","pp","1352.AL014_10220 (pp) 1352.AL014_10225",,"false","pp","1352.AL014_10220 (pp) 1352.AL014_10225",,,,,,,,,
"5722","1576.15588697","pp","1352.AL014_10220 (pp) 1352.AL014_12185",,"false","pp","1352.AL014_10220 (pp) 1352.AL014_12185",,,,,,,,,
"5723","604.00138151","pp","1352.AL014_10220 (pp) 1352.AL014_12620",,"false","pp","1352.AL014_10220 (pp) 1352.AL014_12620",,,,,,,,,
"5724","488.62968389","pp","1352.AL014_10220 (pp) 1352.AL014_12630",,"false","pp","1352.AL014_10220 (pp) 1352.AL014_12630",,,,,,,,,
"5725","309.22163841","pp","1352.AL014_11120 (pp) 1352.AL014_11930",,"false","pp","1352.AL014_11120 (pp) 1352.AL014_11930",,,,,,,,,
"5726","225.79118003","pp","1352.AL014_11120 (pp) 1352.AL014_12645",,"false","pp","1352.AL014_11120 (pp) 1352.AL014_12645",,,,,,,,,
"5727","97.91913652","pp","1352.AL014_11120 (pp) 1352.AL014_13465",,"false","pp","1352.AL014_11120 (pp) 1352.AL014_13465",,,,,,,,,
"5728","165.90615402","pp","1352.AL014_11120 (pp) 1352.AL014_14035",,"false","pp","1352.AL014_11120 (pp) 1352.AL014_14035",,,,,,,,,
"5729","643.1732826","pp","1352.AL014_11120 (pp) 1352.AL014_14040",,"false","pp","1352.AL014_11120 (pp) 1352.AL014_14040",,,,,,,,,
"5730","264.43283256","pp","1352.AL014_11930 (pp) 1352.AL014_11955",,"false","pp","1352.AL014_11930 (pp) 1352.AL014_11955",,,,,,,,,
"5731","423.14058535","pp","1352.AL014_11930 (pp) 1352.AL014_13370",,"false","pp","1352.AL014_11930 (pp) 1352.AL014_13370",,,,,,,,,
"5732","255.18022169","pp","1352.AL014_11930 (pp) 1352.AL014_13465",,"false","pp","1352.AL014_11930 (pp) 1352.AL014_13465",,,,,,,,,
"5733","600.58609912","pp","1352.AL014_11930 (pp) 1352.AL014_14035",,"false","pp","1352.AL014_11930 (pp) 1352.AL014_14035",,,,,,,,,
"5734","402.9293914","pp","1352.AL014_12645 (pp) 1352.AL014_14790",,"false","pp","1352.AL014_12645 (pp) 1352.AL014_14790",,,,,,,,,
"5735","1491.59253349","pp","1352.AL014_12645 (pp) 1352.AL014_14795",,"false","pp","1352.AL014_12645 (pp) 1352.AL014_14795",,,,,,,,,
"5736","602.55422317","pp","1352.AL014_12645 (pp) 1352.AL014_14820",,"false","pp","1352.AL014_12645 (pp) 1352.AL014_14820",,,,,,,,,
"5737","93.76938356","pp","1352.AL014_13465 (pp) 1352.AL014_14035",,"false","pp","1352.AL014_13465 (pp) 1352.AL014_14035",,,,,,,,,
"5738","199.09900365","pp","1352.AL014_13465 (pp) 1352.AL014_14790",,"false","pp","1352.AL014_13465 (pp) 1352.AL014_14790",,,,,,,,,
"5739","339.21604392","pp","1352.AL014_14035 (pp) 1352.AL014_14040",,"false","pp","1352.AL014_14035 (pp) 1352.AL014_14040",,,,,,,,,
"5740","415.71084592","pp","1352.AL014_14035 (pp) 1352.AL014_14910",,"false","pp","1352.AL014_14035 (pp) 1352.AL014_14910",,,,,,,,,
"5741","1750.0","pp","1352.AL014_04885 (pp) 1352.AL014_09860",,"false","pp","1352.AL014_04885 (pp) 1352.AL014_09860",,,,,,,,,
"5742","2519.76426736","pp","1352.AL014_09860 (pp) 1352.AL014_14030",,"false","pp","1352.AL014_09860 (pp) 1352.AL014_14030",,,,,,,,,
"5743","7480.56217768","pp","1352.AL014_09860 (pp) 1352.AL014_11925",,"false","pp","1352.AL014_09860 (pp) 1352.AL014_11925",,,,,,,,,
"5744","2588.14968452","pp","1352.AL014_09860 (pp) 1352.AL014_14795",,"false","pp","1352.AL014_09860 (pp) 1352.AL014_14795",,,,,,,,,
"5745","628.33980581","pp","1352.AL014_09860 (pp) 1352.AL014_10230",,"false","pp","1352.AL014_09860 (pp) 1352.AL014_10230",,,,,,,,,
