"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"29104","1003.1682382228328","pp","208964.PA1598 (pp) 208964.PA4731","false","pp","208964.PA1598 (pp) 208964.PA4731","0.294","0.487",,,,,"0.871","0.673"
"29105","3171.168784962137","pp","208964.PA0266 (pp) 208964.PA3117","false","pp","208964.PA0266 (pp) 208964.PA3117",,,"0.873",,,,"0.878","0.079"
"29106","2332.264790965984","pp","208964.PA0266 (pp) 208964.PA2413","false","pp","208964.PA0266 (pp) 208964.PA2413",,,"0.873",,,,"0.884","0.121"
"29107","1560.9992633665304","pp","208964.PA0266 (pp) 208964.PA0662","false","pp","208964.PA0266 (pp) 208964.PA0662","0.074",,"0.873",,,,"0.884","0.09"
"29108","13445.788660859167","pp","208964.PA0266 (pp) 208964.PA0293","false","pp","208964.PA0266 (pp) 208964.PA0293",,,"0.67",,,"0.15","0.812","0.382"
"29109","1176.059659442268","pp","208964.PA0266 (pp) 208964.PA0795","false","pp","208964.PA0266 (pp) 208964.PA0795","0.27","0.151","0.873",,,,"0.926","0.173"
"29110","1485.997895104254","pp","208964.PA0266 (pp) 208964.PA0297","false","pp","208964.PA0266 (pp) 208964.PA0297","0.175","0.158","0.873",,,"0.159","0.932","0.223"
"29111","1974.1106730903473","pp","208964.PA0266 (pp) 208964.PA1027","false","pp","208964.PA0266 (pp) 208964.PA1027",,,"0.964",,,"0.139","0.972","0.169"
"29112","1829.0718551021587","pp","208964.PA0266 (pp) 208964.PA0835","false","pp","208964.PA0266 (pp) 208964.PA0835",,,"0.873",,,,"0.879","0.089"
"29113","1457.952398966451","pp","208964.PA0266 (pp) 208964.PA1162","false","pp","208964.PA0266 (pp) 208964.PA1162",,,"0.777",,,"0.061","0.783","0.046"
"29114","528.7610779936801","pp","208964.PA0266 (pp) 208964.PA0299","false","pp","208964.PA0266 (pp) 208964.PA0299",,"0.339","0.441",,,"0.075","0.781","0.434"
"29115","1406.0817641415417","pp","208964.PA0266 (pp) 208964.PA0895","false","pp","208964.PA0266 (pp) 208964.PA0895","0.194","0.3","0.633",,,,"0.788","0.098"
"29116","1422.4712529012306","pp","208964.PA0266 (pp) 208964.PA0530","false","pp","208964.PA0266 (pp) 208964.PA0530","0.194","0.412","0.633",,,,"0.825","0.112"
"29117","2200.9848651960624","pp","208964.PA0266 (pp) 208964.PA0899","false","pp","208964.PA0266 (pp) 208964.PA0899","0.588",,"0.467",,,"0.066","0.789","0.094"
"29118","9536.912656835273","pp","208964.PA0266 (pp) 208964.PA0546","false","pp","208964.PA0266 (pp) 208964.PA0546","0.075",,"0.806",,,"0.042","0.821","0.082"
"29119","2642.902906141275","pp","208964.PA0266 (pp) 208964.PA0904","false","pp","208964.PA0266 (pp) 208964.PA0904",,,"0.873",,,"0.056","0.879","0.07"
"29120","1090.4415738640823","pp","208964.PA0266 (pp) 208964.PA1421","false","pp","208964.PA0266 (pp) 208964.PA1421",,,"0.926",,,"0.053","0.95","0.35"
"29121","1774.6763357362165","pp","208964.PA0266 (pp) 208964.PA1833","false","pp","208964.PA0266 (pp) 208964.PA1833",,,"0.873",,,,"0.873",
"29122","1924.4906358455253","pp","208964.PA0266 (pp) 208964.PA3568","false","pp","208964.PA0266 (pp) 208964.PA3568","0.181",,"0.873",,,,"0.897","0.085"
"29123","6335.672672008493","pp","208964.PA0266 (pp) 208964.PA2249","false","pp","208964.PA0266 (pp) 208964.PA2249",,,"0.873",,,,"0.875","0.059"
"29124","714.4925896580165","pp","208964.PA0266 (pp) 208964.PA3569","false","pp","208964.PA0266 (pp) 208964.PA3569",,,"0.946",,,,"0.956","0.226"
"29125","1018.0126163777593","pp","208964.PA0266 (pp) 208964.PA2555","false","pp","208964.PA0266 (pp) 208964.PA2555",,,"0.873",,,"0.059","0.876","0.046"
"29126","1571.6618212238157","pp","208964.PA0266 (pp) 208964.PA3312","false","pp","208964.PA0266 (pp) 208964.PA3312",,,"0.984",,,,"0.984","0.047"
"29127","667.0601903897063","pp","208964.PA0266 (pp) 208964.PA4730","false","pp","208964.PA0266 (pp) 208964.PA4730",,,"0.873",,,"0.051","0.875","0.048"
"29128","2287.1158013412446","pp","208964.PA0266 (pp) 208964.PA3687","false","pp","208964.PA0266 (pp) 208964.PA3687",,,"0.873",,,"0.048","0.878","0.072"
"29129","421.0719876964968","pp","208964.PA0266 (pp) 208964.PA4731","false","pp","208964.PA0266 (pp) 208964.PA4731",,,"0.873",,,,"0.875","0.055"
"29130","1160.8573430330573","pp","208964.PA0266 (pp) 208964.PA4899","false","pp","208964.PA0266 (pp) 208964.PA4899",,,"0.8",,,,"0.811","0.093"
"29131","1404.4754981825151","pp","208964.PA0266 (pp) 208964.PA4977","false","pp","208964.PA0266 (pp) 208964.PA4977",,,,,,"0.047","0.844","0.843"
"29132","2287.1598745155734","pp","208964.PA0266 (pp) 208964.PA5429","false","pp","208964.PA0266 (pp) 208964.PA5429",,,"0.873",,,,"0.891","0.179"
"29133","248.73947025785284","pp","208964.PA2444 (pp) 208964.PA2445","false","pp","208964.PA2444 (pp) 208964.PA2445","0.08",,"0.948",,,"0.534","0.977","0.089"
"29134","737.5845209376856","pp","208964.PA2444 (pp) 208964.PA3437","false","pp","208964.PA2444 (pp) 208964.PA3437",,,"0.963",,,,"0.963",
"29135","368.7934294257808","pp","208964.PA2444 (pp) 208964.PA3751","false","pp","208964.PA2444 (pp) 208964.PA3751","0.142",,"0.963",,,"0.055","0.969","0.098"
"29136","1866.4465104236967","pp","208964.PA2444 (pp) 208964.PA3111","false","pp","208964.PA2444 (pp) 208964.PA3111","0.074",,"0.963","0.12",,"0.047","0.971","0.16"
"29137","1565.5867499917135","pp","208964.PA2444 (pp) 208964.PA3816","false","pp","208964.PA2444 (pp) 208964.PA3816",,,"0.925",,,,"0.93","0.104"
