"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"22094","1241.41449563","pp","1280.SAXN108_2839 (pp) 1280.SAXN108_2840",,"false","pp","1280.SAXN108_2839 (pp) 1280.SAXN108_2840",,"0.777","0.754",,,,"0.875","0.994","0.3"
"22095","2627.25792906","pp","1280.SAXN108_2839 (pp) 1280.SAXN108_2841",,"false","pp","1280.SAXN108_2839 (pp) 1280.SAXN108_2841",,"0.553",,,,,"0.625","0.858","0.221"
"22096","2239.43472813","pp","1280.SAXN108_1989 (pp) 1280.SAXN108_1990",,"false","pp","1280.SAXN108_1989 (pp) 1280.SAXN108_1990",,"0.784","0.936","0.8","0.758",,"0.872","0.999","0.127"
"22097","842.56527187","pp","1280.SAXN108_1989 (pp) 1280.SAXN108_2511",,"false","pp","1280.SAXN108_1989 (pp) 1280.SAXN108_2511",,"0.186","0.936",,,,,"0.945",
"22098","1541.0","pp","1280.SAXN108_2824 (pp) 1280.SAXN108_2826",,"false","pp","1280.SAXN108_2824 (pp) 1280.SAXN108_2826",,"0.215",,,,,"0.769","0.811",
"22099","1541.0","pp","1280.SAXN108_2824 (pp) 1280.SAXN108_2825",,"false","pp","1280.SAXN108_2824 (pp) 1280.SAXN108_2825",,"0.299",,,,,"0.811","0.862",
"22100","3.0","pp","1280.SAXN108_2826 (pp) 1280.SAXN108_2827",,"false","pp","1280.SAXN108_2826 (pp) 1280.SAXN108_2827",,"0.543",,,,,"0.581","0.8",
"22101","4614.0","pp","1280.SAXN108_2826 (pp) 1280.SAXN108_2828",,"false","pp","1280.SAXN108_2826 (pp) 1280.SAXN108_2828",,"0.567",,,,,"0.589","0.814",
"22102","3.0","pp","1280.SAXN108_2825 (pp) 1280.SAXN108_2827",,"false","pp","1280.SAXN108_2825 (pp) 1280.SAXN108_2827",,"0.591",,,,,"0.553","0.81","0.043"
"22103","2.0","pp","1280.SAXN108_2825 (pp) 1280.SAXN108_2826",,"false","pp","1280.SAXN108_2825 (pp) 1280.SAXN108_2826",,"0.505",,,,,"0.801","0.897",
"22104","4614.0","pp","1280.SAXN108_2825 (pp) 1280.SAXN108_2828",,"false","pp","1280.SAXN108_2825 (pp) 1280.SAXN108_2828",,"0.694","0.11",,,,"0.553","0.873","0.079"
"22105","3310.78555314","pp","1280.SAXN108_1978 (pp) 1280.SAXN108_2360",,"false","pp","1280.SAXN108_1978 (pp) 1280.SAXN108_2360",,"0.088","0.936",,,,,"0.949","0.202"
"22106","3076.0","pp","1280.SAXN108_2827 (pp) 1280.SAXN108_2828",,"false","pp","1280.SAXN108_2827 (pp) 1280.SAXN108_2828",,"0.518",,,,,"0.847","0.924","0.054"
"22107","940.9177874","pp","1280.SAXN108_0634 (pp) 1280.SAXN108_1204",,"false","pp","1280.SAXN108_0634 (pp) 1280.SAXN108_1204",,,,,,,,"0.88","0.88"
"22108","902.62935551","pp","1280.SAXN108_0634 (pp) 1280.SAXN108_2570",,"false","pp","1280.SAXN108_0634 (pp) 1280.SAXN108_2570",,,,,,,,"0.88","0.88"
"22109","902.62935551","pp","1280.SAXN108_0634 (pp) 1280.SAXN108_0701",,"false","pp","1280.SAXN108_0634 (pp) 1280.SAXN108_0701",,,,,,,,"0.88","0.88"
"22110","3082.0","pp","1280.SAXN108_2810 (pp) 1280.SAXN108_2811",,"false","pp","1280.SAXN108_2810 (pp) 1280.SAXN108_2811","0.069","0.256","0.131",,,,"0.787","0.858","0.069"
"22111","60.5729543","pp","1280.SAXN108_0633 (pp) 1280.SAXN108_0634",,"false","pp","1280.SAXN108_0633 (pp) 1280.SAXN108_0634",,,,,,,"0.845","0.845",
"22112","2.0","pp","1280.SAXN108_1969 (pp) 1280.SAXN108_1970",,"false","pp","1280.SAXN108_1969 (pp) 1280.SAXN108_1970",,"0.612",,,,,"0.826","0.931","0.069"
"22113","2.0","pp","1280.SAXN108_0637 (pp) 1280.SAXN108_0638",,"false","pp","1280.SAXN108_0637 (pp) 1280.SAXN108_0638",,,,,,,"0.851","0.851",
"22114","2563.0420096","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_2350",,"false","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_2350","0.19",,"0.758",,,,,"0.795",
"22115","444.91985391","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_2352",,"false","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_2352","0.114",,"0.758",,,,,"0.781","0.063"
"22116","2052.60393926","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_1801",,"false","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_1801",,,"0.806",,,,"0.318","0.869","0.094"
"22117","397.97635581","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_2351",,"false","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_2351","0.132",,"0.758",,,,,"0.78",
"22118","1513.86079577","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_0828",,"false","pp","1280.SAXN108_0629 (pp) 1280.SAXN108_0828","0.069",,,,"0.779",,"0.281","0.865","0.197"
"22119","769.25929609","pp","1280.SAXN108_2472 (pp) 1280.SAXN108_2957",,"false","pp","1280.SAXN108_2472 (pp) 1280.SAXN108_2957","0.138",,"0.758","0.332","0.03",,"0.088","0.871","0.148"
"22120","1074.98056256","pp","1280.SAXN108_2472 (pp) 1280.SAXN108_2531",,"false","pp","1280.SAXN108_2472 (pp) 1280.SAXN108_2531",,,"0.936",,,,"0.077","0.968","0.513"
"22121","1074.98056256","pp","1280.SAXN108_2471 (pp) 1280.SAXN108_2531",,"false","pp","1280.SAXN108_2471 (pp) 1280.SAXN108_2531",,,"0.936",,,,"0.077","0.969","0.523"
"22122","769.25929609","pp","1280.SAXN108_2471 (pp) 1280.SAXN108_2957",,"false","pp","1280.SAXN108_2471 (pp) 1280.SAXN108_2957","0.138",,"0.758","0.332","0.021",,"0.088","0.871","0.148"
"22123","2.0","pp","1280.SAXN108_2471 (pp) 1280.SAXN108_2472",,"false","pp","1280.SAXN108_2471 (pp) 1280.SAXN108_2472",,"0.215","0.969","0.983",,,"0.876","0.999","0.058"
"22124","3.66666667","pp","1280.SAXN108_2470 (pp) 1280.SAXN108_2471",,"false","pp","1280.SAXN108_2470 (pp) 1280.SAXN108_2471","0.138","0.666","0.936","0.983","0.178",,"0.876","0.999","0.578"
