"SUID","400667.A1S_3095","EdgeBetweenness","interaction","name","pp","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"1541","","414.01800919","pp","272620.KPN_00611 (pp) 272620.KPN_00612","","false","pp","272620.KPN_00611 (pp) 272620.KPN_00612","0.924","0.776",,"0.203",,"0.837","0.999","0.63"
"1542","","748.3876907","pp","272620.KPN_00611 (pp) 272620.KPN_03682","","false","pp","272620.KPN_00611 (pp) 272620.KPN_03682",,"0.196","0.873",,,,"0.894",
"1543","","188.05768661","pp","272620.KPN_00611 (pp) 272620.KPN_03663","","false","pp","272620.KPN_00611 (pp) 272620.KPN_03663",,,"0.873",,,"0.044","0.886","0.138"
"1544","","255.75854042","pp","272620.KPN_00611 (pp) 272620.KPN_02922","","false","pp","272620.KPN_00611 (pp) 272620.KPN_02922",,,"0.873",,,,"0.928","0.46"
"1545","","1699.36437002","pp","272620.KPN_00611 (pp) 272620.KPN_02920","","false","pp","272620.KPN_00611 (pp) 272620.KPN_02920",,,"0.873",,,"0.046","0.929","0.462"
"1546","","542.46205154","pp","272620.KPN_00611 (pp) 272620.KPN_01256","","false","pp","272620.KPN_00611 (pp) 272620.KPN_01256",,"0.31","0.873",,,,"0.912","0.075"
"1547","","1169.45150934","pp","272620.KPN_00611 (pp) 272620.KPN_01037","","false","pp","272620.KPN_00611 (pp) 272620.KPN_01037",,,"0.873",,,,"0.873",
"1548","","704.45034327","pp","272620.KPN_00611 (pp) 272620.KPN_00936","","false","pp","272620.KPN_00611 (pp) 272620.KPN_00936",,,"0.873",,,"0.056","0.881","0.088"
"1549","","1570.81581863","pp","272620.KPN_00611 (pp) 272620.KPN_02477","","false","pp","272620.KPN_00611 (pp) 272620.KPN_02477","0.173",,"0.873",,,,"0.894","0.072"
"1550","","276.99326639","pp","272620.KPN_00610 (pp) 272620.KPN_00614","","false","pp","272620.KPN_00610 (pp) 272620.KPN_00614","0.277","0.711",,,,"0.517","0.919","0.294"
"1551","","639.09452242","pp","272620.KPN_00610 (pp) 272620.KPN_00613","","false","pp","272620.KPN_00610 (pp) 272620.KPN_00613","0.452","0.613",,,,"0.117","0.835","0.222"
"1552","","200.61233927","pp","272620.KPN_00610 (pp) 272620.KPN_00612","","false","pp","272620.KPN_00610 (pp) 272620.KPN_00612","0.42","0.721",,,,"0.534","0.944","0.348"
"1553","","2204.61614058","pp","272620.KPN_00610 (pp) 272620.KPN_00611","","false","pp","272620.KPN_00610 (pp) 272620.KPN_00611","0.681","0.695",,"0.208",,"0.576","0.978","0.443"
"1554","","6.34295598","pp","272620.KPN_01948 (pp) 272620.KPN_01949","","false","pp","272620.KPN_01948 (pp) 272620.KPN_01949","0.266","0.485","0.873","0.999",,"0.845","0.999","0.403"
"1555","","229.53106856","pp","272620.KPN_00858 (pp) 272620.KPN_03059","","false","pp","272620.KPN_00858 (pp) 272620.KPN_03059",,,"0.803",,,,"0.803",
"1556","","593.80879778","pp","272620.KPN_00858 (pp) 272620.KPN_02292","","false","pp","272620.KPN_00858 (pp) 272620.KPN_02292",,"0.765","0.308",,,,"0.854","0.176"
"1557","","738.68053469","pp","272620.KPN_00858 (pp) 272620.KPN_00931","","false","pp","272620.KPN_00858 (pp) 272620.KPN_00931",,"0.764","0.308",,,,"0.853","0.172"
"1558","","1105.88794047","pp","272620.KPN_00857 (pp) 272620.KPN_04670","","false","pp","272620.KPN_00857 (pp) 272620.KPN_04670",,,"0.873",,,"0.046","0.874",
"1559","","530.28835812","pp","272620.KPN_00857 (pp) 272620.KPN_04478","","false","pp","272620.KPN_00857 (pp) 272620.KPN_04478",,,"0.873",,,,"0.873",
"1560","","316.4988392","pp","272620.KPN_00857 (pp) 272620.KPN_04395","","false","pp","272620.KPN_00857 (pp) 272620.KPN_04395","0.184",,"0.873",,,,"0.898","0.094"
"1561","","794.19964596","pp","272620.KPN_00857 (pp) 272620.KPN_04271","","false","pp","272620.KPN_00857 (pp) 272620.KPN_04271",,,"0.873",,,,"0.873",
"1562","","1023.35811363","pp","272620.KPN_00857 (pp) 272620.KPN_04269","","false","pp","272620.KPN_00857 (pp) 272620.KPN_04269",,,"0.873",,,,"0.88","0.091"
"1563","","205.69109812","pp","272620.KPN_00857 (pp) 272620.KPN_04268","","false","pp","272620.KPN_00857 (pp) 272620.KPN_04268",,,"0.873",,,,"0.873",
"1564","","482.54737257","pp","272620.KPN_00857 (pp) 272620.KPN_02688","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02688",,,"0.952",,,"0.049","0.956","0.108"
"1565","","356.92368699","pp","272620.KPN_00857 (pp) 272620.KPN_02369","","false","pp","272620.KPN_00857 (pp) 272620.KPN_02369",,,"0.952",,,,"0.954","0.089"
